# x_m,y_m
0.000000,0.800000
0.500000,0.800000
1.000000,0.800000
1.500000,0.800000
2.000000,0.800000
2.500000,0.800000
3.000000,0.800000
3.500000,0.800000
4.000000,0.800000
4.500000,0.800000
5.000000,0.800000
5.500000,0.800000
6.000000,0.800000
6.500000,0.800000
7.000000,0.800000
7.500000,0.800000
8.000000,0.800000
8.500000,0.800000
9.000000,0.800000
9.500000,0.800000
10.000000,0.800000
10.500000,0.800000
11.000000,0.800000
11.500000,0.800000
12.000000,0.800000
12.500000,0.800000
13.000000,0.800000
13.500000,0.800000
14.000000,0.800000
14.500000,0.800000
15.000000,0.800000
15.500000,0.800000
16.000000,0.800000
16.500000,0.800000
17.000000,0.800000
17.500000,0.800000
18.000000,0.800000
18.500000,0.800000
19.000000,0.800000
19.500000,0.800000
20.000000,0.800000
20.500000,0.800000
21.000000,0.800000
21.500000,0.800000
22.000000,0.800000
22.500000,0.800000
23.000000,0.800000
23.500000,0.800000
24.000000,0.800000
24.500000,0.800000
25.000000,0.800000
25.500000,0.800000
26.000000,0.800000
26.500000,0.800000
27.000000,0.800000
27.500000,0.800000
28.000000,0.800000
28.500000,0.800000
29.000000,0.800000
29.500000,0.800000
30.000000,0.800000
30.500000,0.800000
31.000000,0.800000
31.500000,0.800000
32.000000,0.800000
32.500000,0.800000
33.000000,0.800000
33.500000,0.800000
34.000000,0.800000
34.500000,0.800000
35.000000,0.800000
35.500000,0.800000
36.000000,0.800000
36.500000,0.800000
37.000000,0.800000
37.500000,0.800000
38.000000,0.800000
38.500000,0.800000
39.000000,0.800000
39.500000,0.800000
40.000000,0.800000
40.500000,0.800000
41.000000,0.800000
41.500000,0.800000
42.000000,0.800000
42.500000,0.800000
43.000000,0.800000
43.500000,0.800000
44.000000,0.800000
44.500000,0.800000
45.000000,0.800000
45.500000,0.800000
46.000000,0.800000
46.500000,0.800000
47.000000,0.800000
47.500000,0.800000
48.000000,0.800000
48.500000,0.800000
49.000000,0.800000
49.500000,0.800000
50.000000,0.800000
50.500000,0.800000
51.000000,0.800000
51.500000,0.800000
52.000000,0.800000
52.500000,0.800000
53.000000,0.800000
53.500000,0.800000
54.000000,0.800000
54.500000,0.800000
55.000000,0.800000
55.500000,0.800000
56.000000,0.800000
56.500000,0.800000
57.000000,0.800000
57.500000,0.800000
58.000000,0.800000
58.500000,0.800000
59.000000,0.800000
59.500000,0.800000
60.000000,0.800000
60.500000,0.800000
61.000000,0.800000
61.500000,0.800000
62.000000,0.800000
62.500000,0.800000
63.000000,0.800000
63.500000,0.800000
64.000000,0.800000
64.500000,0.800000
65.000000,0.800000
65.500000,0.800000
66.000000,0.800000
66.500000,0.800000
67.000000,0.800000
67.500000,0.800000
68.000000,0.800000
68.500000,0.800000
69.000000,0.800000
69.500000,0.800000
70.000000,0.800000
70.500000,0.800000
71.000000,0.800000
71.500000,0.800000
72.000000,0.800000
72.500000,0.800000
73.000000,0.800000
73.500000,0.800000
74.000000,0.800000
74.500000,0.800000
75.000000,0.800000
75.500000,0.800000
76.000000,0.800000
76.500000,0.800000
77.000000,0.800000
77.500000,0.800000
78.000000,0.800000
78.500000,0.800000
79.000000,0.800000
79.500000,0.800000
80.000000,0.800000
80.500000,0.800000
81.000000,0.800000
81.500000,0.800000
82.000000,0.800000
82.500000,0.800000
83.000000,0.800000
83.500000,0.800000
84.000000,0.800000
84.500000,0.800000
85.000000,0.800000
85.500000,0.800000
86.000000,0.800000
86.500000,0.800000
87.000000,0.800000
87.500000,0.800000
88.000000,0.800000
88.500000,0.800000
89.000000,0.800000
89.500000,0.800000
90.000000,0.800000
90.500000,0.800000
91.000000,0.800000
91.500000,0.800000
92.000000,0.800000
92.500000,0.800000
93.000000,0.800000
93.500000,0.800000
94.000000,0.800000
94.500000,0.800000
95.000000,0.800000
95.500000,0.800000
96.000000,0.800000
96.500000,0.800000
97.000000,0.800000
97.500000,0.800000
98.000000,0.800000
98.500000,0.800000
99.000000,0.800000
99.500000,0.800000
100.000000,0.800000
100.500639,0.803070
101.001200,0.812281
101.501604,0.827631
102.001772,0.849118
102.501627,0.876737
103.001091,0.910486
103.500084,0.950358
103.998528,0.996348
104.496347,1.048447
104.993461,1.106649
105.489792,1.170943
105.985264,1.241321
106.479798,1.317770
106.973317,1.400279
107.465743,1.488834
107.957000,1.583423
108.447011,1.684030
108.935698,1.790640
109.422985,1.903235
109.908797,2.021798
110.393056,2.146310
110.875686,2.276753
111.356613,2.413105
111.835761,2.555346
112.313055,2.703452
112.788420,2.857401
113.261782,3.017169
113.733066,3.182730
114.202198,3.354059
114.669106,3.531129
115.133716,3.713912
115.595955,3.902379
116.055751,4.096501
116.513031,4.296248
116.967725,4.501587
117.419761,4.712488
117.869067,4.928917
118.315575,5.150840
118.759213,5.378222
119.199912,5.611028
119.637604,5.849221
120.072219,6.092765
120.503690,6.341619
120.931949,6.595747
121.356929,6.855108
121.778563,7.119661
122.196785,7.389365
122.611530,7.664177
123.022733,7.944055
123.430329,8.228955
123.834255,8.518832
124.234447,8.813641
124.630842,9.113335
125.023379,9.417868
125.411996,9.727192
125.796632,10.041258
126.177227,10.360017
126.553720,10.683419
126.926055,11.011415
127.294170,11.343951
127.658011,11.680977
128.017518,12.022439
128.372636,12.368283
128.723310,12.718457
129.069484,13.072904
129.411104,13.431569
129.748116,13.794397
130.080468,14.161330
130.408108,14.532311
130.730985,14.907281
131.049047,15.286182
131.362245,15.668955
131.670530,16.055539
131.973854,16.445875
132.272169,16.839900
132.565428,17.237554
132.853586,17.638773
133.136597,18.043495
133.414417,18.451657
133.687002,18.863195
133.954310,19.278044
134.216299,19.696139
134.472928,20.117415
134.724156,20.541806
134.969945,20.969244
135.210256,21.399664
135.445050,21.832998
135.674292,22.269178
135.897945,22.708136
136.115975,23.149802
136.328347,23.594108
136.535027,24.040984
136.735985,24.490360
136.931187,24.942166
137.120604,25.396331
137.304206,25.852784
137.481964,26.311453
137.653850,26.772266
137.819837,27.235151
137.979900,27.700036
138.134013,28.166848
138.282152,28.635514
138.424294,29.105960
138.560417,29.578112
138.690498,30.051898
138.814519,30.527241
138.932459,31.004069
139.044300,31.482306
139.150025,31.961877
139.249617,32.442708
139.343060,32.924722
139.430339,33.407845
139.511442,33.892000
139.586355,34.377112
139.655066,34.863106
139.717565,35.349903
139.773843,35.837430
139.823889,36.325608
139.867697,36.814362
139.905259,37.303615
139.936570,37.793291
139.961625,38.283312
139.980419,38.773602
139.992951,39.264084
139.999217,39.754682
139.999217,40.245318
139.992951,40.735916
139.980419,41.226398
139.961625,41.716688
139.936570,42.206709
139.905259,42.696385
139.867697,43.185638
139.823889,43.674392
139.773843,44.162570
139.717565,44.650097
